Test_Number,Testing_Type,A/S,Test(META???),Location_Type,Test_Location,??,EMA#1,EMA#2,EMAW,EMAS,EMAP,WABL,WABLM,RAWL,RAWLM,KEN,RANGE,Value
3000,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3001,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3002,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(F),1,"(1,pins),FAILED,=,{,QA_3,}"
3003,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3004,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3005,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3006,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3007,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3008,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3009,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3010,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3011,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3012,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3013,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3014,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3015,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3016,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3017,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3018,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3019,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3020,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3021,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3022,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3023,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P),0
3024,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3025,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3026,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3027,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3028,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3029,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3030,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
