TestStarted(7)...
SITE,1,Dut1
dut1,builtin_Pass
SITE,1,Dut1,builtin_Pass,softbin,0,hardbin,0
SITE,1,Dut1,builtin_Pass,softbin,0,hardbin,0
tb_pin_continuity_test,404
tb_gross_idd_default,2651
tb_gross_idd_all_0,2650
tb_gross_idd_all_1,2649
tb_leakage_high,1952
tb_leakage_low,2027
tb_sc_yd_vmin_shm,24726
tb_mem_yd_ckb_Stnd_RA1UHD,52743
tb_mem_yd_ckb_Stnd_RA1HD,187328
tb_mem_yd_ckb_Auto_RA1UHD_TS74CA004,133957
tb_mem_yd_ckb_Auto_RA1HD,54440
tb_mem_yd_ckb_Stnd_RADPUHD,97919
tb_mem_yd_ckb_Stnd_RA2PUHD,71173
tb_mem_yd_ckb_Auto_RA2PUHD,55626
tb_mem_yd_ckb_Stnd_RF1HD,62989
tb_mem_yd_ckb_Stnd_RF1UHD,6154
tb_mem_yd_ckb_Auto_RF1HD,35105
tb_mem_yd_ckb_Stnd_RF2HS,57359
tb_mem_yd_ckb_Stnd_RF2HS_EMA,2285
tb_mem_yd_ckb_Auto_RF2HS,40023
tb_mem_yd_ckb_Stnd_ROM,6997
tb_mem_yd_ckb_Auto_ROM,34972
tb_mem_yd_ckb_Auto_ROM_custom,19131
tb_mem_yd_ckb_Auto_RA1UHD_TS74MA000,25037
tb_mem_yd_ckb_Stnd_FCI_RA1UHD,11784
tb_mem_yd_ckb_Stnd_RF1HD_custom,7908
_RA1HD_RF1HD_RF1UHD_RADPUHD_RA2PUHD,221190
tb_vmin_ckb_std_ROM,5026
tb_vmin_ckb_std_RF2HS,29453
tb_vmin_ckb_std_RA1UHD_etc,48620
tb_vmin_ckb_FCI_RA1UHD,10256
b_vmin_ckb_auto_RA1HD_RF1HD_RA2PUHD,141756
tb_vmin_ckb_auto_ROM,45375
tb_vmin_ckb_auto_RF2HS,33816
tb_vmin_ckb_auto_RA1UHD_etc,119673
TOTAL,TEST,TIME,1655154_mS
TestDone...bin,=,builtin_Pass
