Test_Number,Testing_Item,Test,Range
tb_leakage_high,AA_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_4,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_5,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_6,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_7,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_8,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_9,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_10,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_11,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_12,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_13,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_14,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_15,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_4,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_5,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_6,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AB_7,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_8,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_9,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_10,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_11,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,AB_12,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ACC_ENABLE,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ACC_RESETN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,ACC_SEL_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,ACC_SEL_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,ACC_SEL_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ACC_SEL_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,ACC_SEL_4,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ADA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,BIST_CLK_SEL,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.031_uA
tb_leakage_high,BIST_SE,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,BIST_SI_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,BIST_SI_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,BIST_SI_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,BIST_SI_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,CENA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,CENB,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,CLKA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,CLKB,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,CLKSC,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,CRE1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,CRE2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,DA_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DA_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DA_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,DA_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,DB_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DB_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DB_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DB_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DFTRAMBYP,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ECEN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,EMAA_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAA_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAA_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAB_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAB_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAB_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAP,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,EMASA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAWA_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAWA_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EXT_CLK_SEL_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,EXT_CLK_SEL_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,FF_CLK,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,FF_EN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,GWENA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,GWENB,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,KEN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,LATECANCEL,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,LRENA_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,LRENA_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,LRENB_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,LRENB_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,LV_3RD_PARTY_TM_OR_B,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,OSC_EN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,OUTPUT_SEL_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,OUTPUT_SEL_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,OUTPUT_SEL_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PGEN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_FREF,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PLL_PD,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_REFDIV_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PLL_REFDIV_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,PLL_REFDIV_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PLL_REFDIV_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_REFDIV_4,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_REFDIV_5,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,POSTDIV1_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,POSTDIV1_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,POSTDIV1_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,RAWL,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,RAWLM_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,RAWLM_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,RDTA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,RET1N,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,RET2N,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SC_RESETN,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_4,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_5,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_6,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_7,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_8,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_9,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_10,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_11,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_12,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_13,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,SE_MEM,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SI_MEM_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SI_MEM_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,STOV,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,STOVAB,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SUHD_ADWC_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SUHD_ADWC_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SUHD_ADWC_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_BIT,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_DATA,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_ENABLE,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_MODE,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_0,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SUHD_SKEW_1,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_2,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_3,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SUHD_SKEW_4,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_5,-------_leakage_high_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
